i,valid_fac_cf,dplayer_y_fac_cf,pix_meanabs_fac_cf,token_hamming_fac_cf,collision_fac_cf,prequant_latent_dist_fac_cf,token_hamming_fac_other,collision_fac_other,cur_tokens,fac_tokens,cf_tokens
89,True,6.0,0.11238662131519274,4,False,11.77951431274414,4,False,11|11|11|11,28|28|28|28,39|52|39|39
90,True,0.0,0.0,0,True,0.0,0,True,56|10|56|56,56|10|56|56,56|10|56|56
91,True,6.0,0.11210317460317461,4,False,7.454436302185059,1,False,33|56|33|33,14|27|14|14,33|33|33|33
92,True,0.0,0.0,0,True,0.0,0,True,58|58|58|58,58|58|58|58,58|58|58|58
93,True,0.0,0.0,0,True,0.0,0,True,28|41|28|28,54|54|54|54,54|54|54|54
94,True,2.0,0.037698412698412696,2,False,5.001833438873291,0,True,51|33|51|51,32|39|39|32,32|38|32|32
95,True,0.0,0.0,0,True,0.0,0,True,62|62|62|62,58|58|58|58,58|58|58|58
96,True,0.0,0.0,0,True,0.0,0,True,43|43|43|43,28|28|28|28,28|28|28|28
97,True,0.0,0.0,0,True,0.0,0,True,56|10|56|56,56|56|56|56,56|56|56|56
98,True,0.0,0.0,0,True,0.0,0,True,63|63|63|63,24|24|24|24,24|24|24|24
99,True,5.0,0.11238662131519274,4,False,10.438346862792969,0,True,43|43|43|43,43|43|43|43,54|54|54|54
100,True,0.0,0.0,0,True,0.0,0,True,7|7|7|7,11|11|11|11,11|11|11|11
101,True,0.0,0.0,0,True,0.0,0,True,40|37|40|40,17|46|46|17,17|46|46|17
102,True,5.0,0.07497165532879818,4,False,7.65094518661499,1,False,28|28|28|28,11|43|11|11,28|28|28|28
103,True,6.0,0.11295351473922903,4,False,12.272028923034668,4,False,33|56|33|33,29|29|29|29,33|33|33|33
104,True,5.0,0.11238662131519274,4,False,8.36257553100586,2,False,17|46|46|17,17|46|46|17,44|44|44|44
105,True,0.0,0.0,0,True,0.0,0,True,38|54|54|38,42|12|12|42,42|12|12|42
106,True,6.0,0.11224489795918367,4,False,9.76859188079834,1,False,35|35|35|35,14|14|14|14,35|35|35|35
